text,label
solar jobs report shows huge growth,0
"6 ways to cut wedding costs, according to wedding planners",0
"Надо отдать должное Тинькофф, всегда идут навстречу, особенно когда сам попадаешь в их ловушки. Вернули деньги, как же!",1
paul simon wondering how one goes about getting a column on 'the huffington post',1
"А кто знает как называется сериал, может вечером посмотрю, я так переживаю, вдруг никто не знает, что мне делать?",0
"Не получается пока минус поставить, но я подожду. А вдруг ничего не получится? Я боюсь, что всё будет плохо.",0
"Ты что, совсем глупый? Ты наверное имел в виду ЕЛДУЛЯ?",0
"Что будет, если все троллейбусы перестанут справляться с перевозкой? Мы окажемся в транспортном коллапсе! Это может привести к серьёзным экономическим и социальным проблемам. Нужно срочно принимать меры, иначе будет поздно.",0
Чем плох бешамель на сливках? Всегда так делаю. Только муку вначале сушу на сухой сковороде.,0
these simple tricks will make it way easier to work from home,0
"О, привет, народ! Как же я рад вас видеть, особенно после того, как вы все забыли мои дни рождения!",1
eric clapton ossifies,1
"Давайте думать логически. Когда этот чувак придумал прививки, народ уже болел. То есть прививка действует не только заранее. Так что если вдруг наступит пипец - пойдём и привьёмся. А пока давайте поддержим друг друга в борьбе с болезнями и сделаем прививки, чтобы защитить себя и близких!",0
tv viewer relates to totally unbelievable character that could never exist in reality,1
adrift in love for two nations,0
"О, как интересно! Теперь мы будем писать на латинице, чтобы показать свою прогрессивность. А может, скоро начнем говорить на эльфийском? Главное — не забыть, что русский язык — это основа нашей культуры, и мы должны его защищать любой ценой!",1
"Ну о выпуске пока рано говорить, и выйдет ли — это как раз то, что нам нужно для поддержания интереса, не так ли?",1
community rallies to win private busing for freaky-looking winter hat guy,1
new clinton memoir: 'we all made mistakes but you made most of them',1
trump taps 'jumpin' jack flash' to close the deal in iowa,0
baby jesus and the war on christmas,0
"О, пораша кого-то называет порашей. Как интересно! Наверное, пораша сам промытый и не понимает, о чём говорит.",1
"Блин, я вообще не понимаю, что происходит в политике. Клим ссаныч, может быть, ты сможешь мне объяснить? Я так переживаю из-за всего этого.",0
the judge stands in shock when he sees who's singing on stage... wow!,0
10 tips for balancing work and home,0
safeguarding the well-being of children,0
Вот в америке дохуя оружия. И где чаще всего случаются стрельбища? Где постоянные расстрелы в школах? Эти ублюдки даже не могут контролировать ситуацию! Это все из-за их жадности и безразличия к жизням людей!,0
bayer offers to buy monsanto for $62 billion,0
"Ветер есть — всё гуд, ветра нет — всё гуд, какая удобная зависимость от погодных условий!",1
deceased souls backed up at river styx ferry crossing during underworld transit strike,1
attractive woman surprised to learn coworker a dick,1
these brave souls decided to taste pregnant women's bizarre cravings,0
"О, конечно, давайте оставим Малороссию Украину в покое. Кто знает, может быть, это часть плана по её захвату!",1
"Тег мои животные ставьте, ну что за радость, ваши милые пушистики и их бесконечное присутствие, просто обожаю ваших котов крыс енотов сов собак и всю эту шушеру.",1
37-year-old makes absolutely heartbreaking last-ditch effort to get really into new band,1
why people really buy fur,0
is twitter bad for language? statistical analysis says no (new book),0
"Ну и дела, оказывается, у проводников есть не только работа с пассажирами, но и свой бизнес план по реализации лотерей и шоколадок! Вот это я понимаю — настоящий сервис! А они ещё жалуются, что товар обратно выкупают за свой счёт. Ну и кто тут у нас бедный и несчастный?",1
"Министр обороны, Председатель Верховного Совета СССР, Генеральный секретарь ЦК КПССС По уставу исключений, конечно, нет, но вот вы готовы поручиться, что часовой, открывший огонь по кому-то из этих людей, продолжал бы спокойно служить дальше? Ведь это может привести к непредсказуемым последствиям для него самого и для всей страны!",0
heroic pickles holding lid shut from inside,1
"О, я так рад быть с моими друзьями-дембелями после выпивки! Они такие крутые, просто супергерои в пьяном состоянии.",1
"Через 10 минут после того, как Яндекс Алиса нашла более короткий маршрут, я так рад, что смогу сэкономить время!",0
boyfriend plans magical evening down to first detail,1
'game of thrones' producers reveal series moved beyond show's written script halfway through current season,1
senate rejects pipeline plan that would have created thousands of climate activist jobs,1
production of 'iceman cometh' canceled due to entire cast getting called back for axe body spray commercial,1
"Ну да, конечно, это же просто предел мечтаний - зарплата айтишника среднего уровня в России. Наверное, это даже больше, чем я заслуживаю!",1
there's a reason this lonely bird has such freaky feathers,0
coworker who went to gym this morning a chipper little fucker,1
u.s. navy creates cool new 'ping' sound,1
the weaker becomes the stronger,0
"Дополню, что у китайцев это чудо ещё и на электричестве катается! Видимо, у них прогресс идёт семимильными шагами, как и у нас в девяностые.",1
the one thing you're forgetting to bring to thanksgiving dinner,0
"О, ты просто мастер слов, не так ли? Извинись перед всеми, это будет так благородно с твоей стороны.",1
"О, прогресс! Винт на 300 мб стал винтом на 700 метров... Как же мы рады этому прогрессу!",1
"Я боюсь, что будущее наших детей будет мрачным. Они растут в мире, где насилие и агрессия становятся нормой. Что мы будем делать, когда они начнут бить друг друга?",0
"ОФИГЕННО ОН УПАЛ КОНЕЧНО В КОНЦЕ, НО ЭТО ПРОСТО НЕВЕРОЯТНО ГЛУПО! ТЕГ ЖЕСТЬ НУЖЕН, ЧТОБЫ ПОКАЗАТЬ, КАКАЯ ЭТО ДУРАЦКАЯ СИТУАЦИЯ!",0
"О, смотрите, они решили сделать мотоцикл из вертолета! Кто бы мог подумать, что это будет следующим логическим шагом в развитии транспорта?",1
"Да ну, каждый день миллиардам внушается мысль о потребностях, которых у них нет - реклама называется. А мы-то, бедные, и не знаем, что нам нужно на самом деле!",1
"Пекин, 21 марта Синьхуа -- Разработанный в Китае демонстрационный образец беспилотного летательного аппарата БПЛА на новых источниках энергии, известный как LQ-H, успешно совершил первый полет. Ну и что? Кто вообще будет пользоваться этими летающими штуками? Об этом сообщила в среду корпорация Commercial Aircraft Corporation of China COMAC , которая является разработчиком нового аппарата. Для демонстрации своих технологий LQ-H совершил полет в одном из аэропортов в городе Чжэнчжоу провинции Хэнань Центральный Китай , сообщила COMAC, которая также разработала отечественный крупногабаритный пассажирский самолет C919. Сообщается, что полет, который LQ-H совершил на водородном топливном элементе, прошел гладко с исправной работой всех систем, которые были в хорошем состоянии. При этом была полностью проверена система электропитания БПЛА от батарей. Как сообщили в корпорации COMAC, это стало существенным прогрессом для них в разработке летательных аппаратов на новых источниках энергии. Ну, конечно, это прорыв! Кто бы мог подумать!",1
